Mean RT,Mean CV,Sample 1 Intensity,Sample 2 Intensity,Sample 3 Intensity,Sample 4 Intensity,Sample 5 Intensity,Sample 6 Intensity,Sample 7 Intensity,Sample 8 Intensity,Sample 9 Intensity,Sample 10 Intensity,Sample 11 Intensity,Sample 12 Intensity,Sample 13 Intensity,Sample 14 Intensity,Sample 15 Intensity,Sample 16 Intensity,Sample 17 Intensity,Sample 18 Intensity,Sample 19 Intensity,Sample 20 Intensity,Sample 21 Intensity,Sample 22 Intensity,Sample 23 Intensity,Sample 24 Intensity
487.2221,-21.17783,0.57765,0.98095,0.42189,0.98817,0.96604,0.70096,0.8823,0.69708,0.57966,1.2995,0.91325,0.95049,0.62748,1.4212,0.55945,0.9974,1.1154,0.63922,0.53549,0.42628,0.61811,0.2776,0.42197,0
493.6393,-21.14,0.47747,0.98095,0.45893,0.98817,0.045044,0.17463,0.049664,0.14423,0.25846,1.2995,0.91325,0.033875,0.18197,1.4212,0.40753,0.9974,1.1154,0.48464,0.36943,0.37678,0.50217,0.36042,0.65182,0.33495
527.2089,-21.169,0.36617,0,0.316,0.20675,0.25705,0.16319,0,0,0.32359,0.26152,0.21225,0.31126,0.75503,0.27601,0.55617,0.9814,0.43767,0.27346,0.46564,0.13583,0.47996,0,0.12841,0.14107
294.8308,-21.18579,0.19128,0.34317,0.49936,0,0.082934,0.13603,0,0.17547,0.17853,0,0.37321,0,0.22741,0,0.21422,0.34587,0.091947,0.13675,0.15815,0.46078,0.27522,0.16225,0.33184,0.23337
297.1726,-21.18143,0.1565,0.34317,0.49936,0,0.15177,0.13603,0.47311,0.17547,0.17853,0,0.37321,0.27331,0.22741,0,0.21422,0.34587,0.091947,0.13675,0.070059,0.46078,0.20759,0.16225,0.33184,0.23337
434.9536,-21.05714,0.026946,0.032895,0.083231,0.0046671,0.038061,0.036667,0.05489,0.059347,0.016432,0.012581,0.024091,0.15777,0,0,0.021106,0.011226,0.052079,0.077173,0.020662,0.03196,0,0.064663,0.21309,0.014965
487.6846,-21.16417,0.098049,0.98095,0.42189,0.98817,0.96604,0.70096,0.8823,0.69708,0.57966,1.2995,0.91325,0.95049,0.62748,1.4212,0.55945,0.9974,1.1154,0.63922,0.53549,0.42628,0.61811,0.2776,0.42197,0.33495
635.2117,-21.02652,0.025704,0.24949,0.10139,0.095519,0.74989,0.61381,0.67441,0.49155,0.28019,0.13228,0.077864,0.69602,0.44279,0.26649,0.295,0.13547,0.17031,0.018653,0.12551,0,0.069115,0.23392,0.059482,0.015221
641.0219,-21.15208,0.12263,0.24949,0.18799,0.052751,0.11584,0.048209,0.67441,0.49155,0.057369,0.063479,0.035018,0.10287,0.015685,0.26649,0.295,0.072959,0.17031,0.052955,0.089835,0.088519,0.11217,0.23392,0.025676,0.10548
661.4428,-21.12792,0.15164,0.35762,0.35304,0.053223,0.16872,0.2918,0.15368,0.26508,0.36895,0.40848,0.13903,0.17003,0.29081,0.26629,0.44923,0.39694,0.345,0.22584,0.18601,0.038497,0.41561,0.43113,0.10353,0.0088698
